pair,are_same_entity,confidence,left_norm,right_norm
7,False,0.9,colorado republican comm,republican state comm of delaware
8,False,0.3,ctr on children and families,icwa children and families
9,False,0.3,advocates for empowerment ca,fund for empowerment
10,False,0.2,american vaping manufacturers assn,mississippi manufacturers assn
1,False,0.9,community legal ctr,disability rights legal ctr
2,False,0.8,naral pro-choice america,pro-choice north carolina
3,False,0.9,boise metro chamber of commerce,chamber of commerce of the united states
4,False,1.0,american assn of university women,university of michigan
5,False,1.0,government accountability project,natl police assn
6,False,1.0,arizona assn for justice,nevada attorneys for criminal justice
7,False,0.95,american civil liberties union fdn of virginia,american civil liberties union of arizona
8,True,0.95,natl fed for the blind,natl fed of the blind
9,False,1.0,federal public defender district of guam,federal public defender for the district of oregon
10,False,1.0,mille lacs band of ojibwe,white earth band of ojibwe
1,False,0.3,alumni free speech alliance,free speech advocates
2,False,0.9,asian american legal defense and education fund,eagle forum fdn
3,False,0.4,colorado farm bureau,state farm bureau org of colorado
4,False,0.9,ctr for intl environmental law,emory environmental law soc
5,False,0.7,district attorneys’ assn of georgia,natl district attorneys assn
6,False,0.8,open markets inst,open soc inst
7,False,0.7,american kidney fund,kidney care council
8,False,0.9,assn of the bar of the city of new york,new york state district attorneys assn
9,False,1.0,league of women voters of california,league of women voters of south carolina
10,False,0.8,first amendment coalition,knight first amendment inst at columbia university
1,False,0.3,free speech advocates,university of california free speech alliance
2,False,0.4,natl ctr on domestic and sexual violence,natl ctr on domestic violence trauma and mental health
3,True,0.95,positive womens network-usa (pwn-usa),positive women’s network-usa
4,False,0.2,seattle mennonite church,utopia seattle
5,False,0.3,autonomic technologies,ctr for advanced spine technologies
6,False,0.3,fairness ctr,people for fairness coalition
7,True,0.9,paypal,paypal holdings
8,False,0.3,california county gun owners,gun owners for safety
9,False,0.3,community legal ctr,ctr for american rights
10,False,0.9,dc coalition against domestic violence,hawai’i state coalition against domestic violence
1,False,0.8,5 law library org,library futures
2,False,0.7,natl inst for reproductive health,natl latina inst for reproductive health
3,False,0.6,new wave feminists,q-wave
4,False,0.7,independent women’s law ctr,women’s ctr
5,False,0.9,intl assn of chiefs of police,utah chiefs of police assn
6,False,0.95,california farm bureau,north dakota family alliance
7,False,0.95,north carolina pork council,north carolina vaping council
8,False,0.95,aclu of pennsylvania,hias pennsylvania
9,False,0.7,summus 2,summus outdoor
10,False,0.7,tax council,tax fdn
1,False,0.9,arizona chamber of commerce and industry,u.s. chamber of commerce
2,False,0.9,alabama policy inst,public justice inst
3,False,0.95,california farm bureau,illinois farm bureau
4,False,0.8,american veterans,veterans
5,False,0.95,colorado right to life,illinois right to life
6,False,0.95,lafayette college,lafayette transitional housing ctr
7,False,0.7,alaska family action,family fdn action
8,False,0.7,access reproductive justice,student coalition for reproductive justice
9,False,0.9,operation blazing sword,pink pistols
10,False,0.9,freedom ctr fdn,minnesota freedom fund
1,False,0.3,children’s advocacy inst,women’s and children’s advocacy project
2,False,0.2,american vaping manufacturers assn,west virginia manufacturers assn
3,False,0.4,china software industry assn,software and information industry assn
4,False,0.3,ctr for american liberty,ctr for human liberty
5,False,0.1,apartment assn of los angeles county,los angeles county museum of art
6,True,0.9,diocese of biloxi,roman catholic diocese of biloxi mississippi
7,False,0.3,soar,south asian soar
8,False,0.4,american civil liberties union fdn,american civil liberties union of illinois
9,False,0.3,colorado right to life,right to life of michigan
10,False,0.4,equal justice ctr,kentucky equal justice
1,False,0.9,arkansas school boards assn,north carolina school choice
2,False,0.8,intl assn of chiefs of police,intl union of police assn
3,True,0.95,legal aid justice ctr,legal aid justice ctr (virginia)
4,False,0.95,massachusetts chapter of the natl academy of elder law attorneys,natl org for women-seattle chapter
5,False,0.85,natl inst for reproductive health,physicians for reproductive health
6,False,0.9,american assn for justice,ctr for consumer law and economic justice
7,False,0.85,california assn of lawyers for education,california lawyers assn
8,False,0.95,assn of arkansas counties,california state assn of counties
9,True,0.9,apartment owners assn of california,california apartment assn
10,False,0.95,asian american bar assn of new york,lgbt bar of new york
1,False,0.9,military women’s coalition,montana native women’s coalition
2,False,0.95,american assn of university professors,american university
3,False,0.7,eliot unitarian universalist chapel,unitarian universalist church
4,False,0.9,natl assn of hispanic real estate professionals,natl real estate investors assn
5,False,0.9,american maritime assn,pacific maritime assn
6,False,0.95,bar assn of the district of columbia,florida assn of criminal defense lawyers
7,False,0.9,california policy ctr,ctr for arizona policy
8,False,0.8,central american resource ctr (carecen-la),central american resource ctr of california
9,False,0.85,assn of christian schools intl,assn of classical christian schools
10,False,0.85,american civil liberties union fdn,american civil liberties union of the district of columbia
1,True,0.9,human coalition,human coalition action
2,False,0.7,children’s rights,human rights defense ctr
3,False,0.6,ctr for family and human rights,human rights advocates
4,False,0.7,era minnesota,minnesota exploration assn. dba miningminnesota
5,False,0.9,assn of criminal defense lawyers of new jersey,natl assn of women lawyers
6,False,0.8,starbucks corporation,starbucks workers
7,True,0.95,intl municipal lawyers assn,intl municipal lawyers’ assn
8,False,0.8,assn of christian schools intl,forcey christian school
9,False,0.7,technology policy inst,washington ctr for technology policy inclusion
10,False,0.8,in the public interest,public interest patent law inst
1,False,0.8,california assn of nonprofits,natl council of nonprofits
2,False,0.6,arizona ctr for empowerment,arizona voter empowerment task force
3,False,0.9,district attorneys’ assn of georgia,oregon district attorneys assn
4,False,0.7,alumni free speech alliance,inst for free speech
5,False,0.8,economic policy inst,maine policy inst
6,False,0.7,american intellectual property law assn,island intellectual property
7,False,0.9,georgia coalition against domestic violence,maryland network against domestic violence
8,False,0.7,reserve officers assn d/b/a reserve org of america,united reserve fund
9,False,0.8,arc of the united states,public advocate of the u.s.
10,False,0.7,housing action illinois,illinois housing council
1,False,0.8,california employment law council,california employment lawyers’ assn
2,True,0.9,energy transfer lp,energy transfer partners l.p.
3,False,1.0,current and former california local elected officials,current and former elected officials of guam
4,True,0.95,americas health insurance plans,america’s health insurance plans
5,False,0.9,cfl technologies,dell technologies
6,False,0.7,catholic health assn of the united states,united states catholic mission assn
7,False,0.6,intl corporate accountability roundtable,justice and corporate accountability project
8,False,1.0,american hospital assn,children’s ctr
9,False,0.9,alaska trucking assn,american trucking assn
10,False,1.0,arizona chamber of commerce and industry,intl chamber of commerce of switzerland
1,False,0.8,ctr for responsible lending,hoosiers for responsible lending (indiana)
2,False,1.0,aclu of minnesota,minnesota trucking assn
3,False,0.7,save,save the sound
4,False,0.9,natl assn of tribal historic preservation officers,natl trust for historic preservation in the united states
5,False,0.8,freedom fdn of washington,legal advocates for washington
6,False,1.0,montana republican party,north carolina republican party
7,False,0.9,disability rights ctr of the virgin islands,u.s. virgin islands captive insurance assn
8,False,0.9,connecticut innocence project,mt innocence project
9,True,1.0,naral pro-choice america,reproductive freedom for all (formerly naral pro-choice america)
10,False,1.0,california chamber of commerce,longview chamber of commerce
1,False,0.8,american conservative agenda,american conservative union fdn nolan ctr for justice
2,True,0.9,streamline grp/mh global,streamline vape/mh global
3,False,0.85,american civil liberties union fdn,american civil liberties union of oklahoma
4,False,1.0,georgia republican party,north carolina republican party
5,True,1.0,womens refugee commission,women’s refugee commission
6,False,0.9,federal bar assn,federal circuit bar assn
7,False,0.95,aclu of the district of columbia,american civil liberties union of georgia
8,False,0.95,california chamber of commerce,u.s. chamber of commerce
9,False,1.0,intl brotherhood of electrical workers,intl brotherhood of teamsters (human rights and diversity commission)
10,False,0.85,cruise,cruise lines intl assn
1,False,0.9,council of administrators of special education,minnesota assn of school administrators
2,False,0.8,massachusetts chapter of the natl academy of elder law attorneys,natl academy of elder law attorneys
3,False,0.9,georgia coalition against domestic violence,oregon coalition against domestic and sexual violence
4,False,0.85,natl newspaper assn,natl newspaper publishers assn
5,False,0.95,christian professional photographers,natl press photographers assn
6,False,0.9,asian and pacific islander health forum,natl asian pacific american women’s forum
7,False,0.85,american civil rights union,natl constitutional law union
8,False,0.95,alabama criminal defense lawyers assn,florida assn for criminal defense lawyers
9,False,0.9,florence immigrant and refugee rights project,virginia coalition for immigrant rights
10,False,0.95,west virginia chamber of commerce,west virginians for life
1,False,0.3,families for freedom,for freedoms
2,False,0.9,american hospital assn,mississippi hospital assn
3,False,0.95,community legal ctr,trinity intl university
4,False,0.95,league of women voters california,new york league of conservation voters
5,False,0.95,american university,anderson university
6,False,0.95,greater san antonio chinese chamber of commerce,ohio chamber of commerce
7,False,0.9,credit union natl assn,hope credit union
8,False,0.95,arizona chamber of commerce and industry,new jersey chamber of commerce
9,True,0.95,immigrant justice task force of the wellington avenue united church of christ,wellington avenue united church of christ
10,False,0.95,league of women voters california,league of women voters of new york state
1,False,0.9,faith and freedom coalition,wagner ctr
2,False,0.95,oregon federal public defender’s office,san francisco public defender’s office
3,False,0.85,california rural legal assistance,rural community assistance partnership
4,True,0.8,indivisible,indivisible worcester maryland
5,False,0.9,stand with survivors,stand with us
6,False,0.9,alabama criminal defense lawyers assn,natl assn of criminal defense lawyers
7,False,0.95,mt innocence project,oregon innocence project
8,False,0.9,open soc fdn,open soc policy ctr
9,False,0.9,minnesota assn of county officers,minnesota county attorneys assn
10,False,0.95,georgia smoke free assn,tennessee smoke free assn
1,False,0.2,era minnesota,minnesota 8
2,False,0.3,rhode island bible soc,rhode island family inst
3,False,0.3,children’s ctr,children’s rights
4,False,0.4,community health grp,texas assn of community health ctr
5,False,0.3,american trucking assn,florida trucking assn
6,False,0.4,colorado right to life,right to life
7,False,0.3,ctr for justice and freedom,idaho freedom fdn
8,False,0.4,georgia assn of manufacturers,natl assn of manufacturers
9,False,0.3,atlanta legal aid soc,legal aid soc of columbus
10,False,0.4,assn of prosecuting attorneys,ohio prosecuting attorneys assn
1,False,0.7,criminal justice legal fdn,justice soc
2,False,0.6,abortion access front,new york abortion access fund
3,False,0.7,assn of corporate counsel,fed of defense and corporate counsel
4,True,0.9,native women’s soc,native women’s soc of the great plains
5,False,0.9,california attorneys for criminal justice,nevada attorneys for criminal justice
6,False,0.8,generation justice,seventh generation fund for indigenous peoples
7,False,0.6,apa watch,e-watch
8,False,0.7,access justice,access reproductive justice
9,False,0.9,american g.i. forum,michigan family forum
10,False,0.7,access reproductive justice,new american voices
1,False,0.9,assn of criminal defense lawyers of new jersey,missouri assn of criminal defense lawyers
2,False,0.9,empire ctr,empire health fdn
3,False,0.95,league of california cities,league of women voters of the united states
4,True,0.95,black women’s roundtable,natl coalition on black civic participation-black women’s roundtable
5,False,0.9,equality fed,equality florida
6,True,0.95,holocaust education ctr in the desert,holocaust education ctr in the desert. d/b/a tolerance education ctr
7,True,0.9,america first legal,america first legal fdn
8,False,0.95,mississippi college,mississippi hospital assn
9,False,0.9,autonomic technologies,lumen technologies
10,False,0.95,central atlantic conference of the united church of christ,kerrville church of christ
1,False,0.9,arc of the united states,public advocate
2,False,0.95,kentucky league of cities,league of california cities
3,False,0.95,central florida assn of criminal defense lawyers,ohio assn of criminal defense lawyers
4,False,0.95,roman catholic archdiocese of milwaukee,roman catholic archdiocese of new york
5,False,0.9,nebraska appleseed,texas appleseed
6,False,0.95,mount vernon nazarene university,point loma nazarene university
7,False,0.9,republican governors assn,republican governors public policy comm
8,False,0.7,foundry,foundry publishing
9,False,0.95,aclu fdn of texas,aclu of florida
10,False,0.8,e-watch,wetlands watch
1,False,0.3,save,save jobs usa
2,False,0.4,american civil liberties union fdn,american civil liberties union of mississippi
3,False,0.5,disability rights california,disability rights michigan
4,False,0.2,american civil rights union,interamerican inst for constitutional rights
5,False,0.1,ctr for american rights,women’s reproductive rights assistance project
6,True,0.9,comm for public counsel services,comm for public counsel services innocence program
7,False,0.4,illinois health and hospital assn,illinois hospital assn
8,False,0.3,circular congregational church,union congregational church
9,False,0.4,american hindu coalition,hindu american fdn
10,False,0.3,freedom fdn,islam and religious freedom action team religious freedom inst
1,True,0.95,ctia-the wireless assn,ctia-the wireless assn®
2,True,0.85,tradition family and property,tradition family property
3,False,0.9,assn of criminal defense lawyers of new jersey,natl assn of criminal defense lawyers
4,True,0.9,natl fed of independent business,natl fed of independent businesses
5,False,1.0,arc of the united states,green party of the united states
6,False,0.8,ctr for the study of hate and extremism,global project against hate and extremism
7,False,0.7,academy of perinatal harm reduction,natl harm reduction coalition
8,False,0.6,just neighbors,neighbors helping neighbors (new york)
9,False,0.6,montana native women’s coalition,montana women for. . .
10,False,1.0,arkansas state chamber of commerce,missouri chamber of commerce and industry
1,False,0.8,natl justice for our neighbors,san antonio region justice for our neighbors
2,False,0.7,stand u.p.,stand up michigan
3,False,0.9,florida family policy council,west virginia family policy council
4,False,0.9,alabama criminal defense lawyers assn,florida assn for criminal defense lawyers-miami chapter
5,False,0.8,cfl technologies,traxcell technologies
6,False,0.9,lgbt bar assn of new york,natl bar assn
7,False,0.9,midamerica nazarene university,point loma nazarene university
8,False,0.8,community legal services,defender assn of philadelphia
9,False,0.85,california school boards assn’s education legal alliance,natl school boards assn
10,False,0.7,family fdn,new jersey family policy council
1,False,0.9,aclu of northern california,california water fdn
2,False,0.8,american bar assn,american muslim bar assn
3,False,0.9,black women’s roundtable,california business roundtable
4,False,0.7,civil liberties defense ctr,new civil liberties alliance
5,True,0.95,diocese of jackson,roman catholic diocese of jackson
6,True,0.9,federal defender for the eastern district of california,federal public defender eastern district of california
7,False,0.95,california chamber of commerce,new jersey chamber of commerce
8,False,0.85,media coalition fdn,natl hispanic media coalition
9,False,0.95,assn of criminal defense lawyers of new jersey,vermont assn of criminal defense attorneys
10,False,0.7,american independent natl comm,ctr for independent thought
1,False,0.9,american small business league,natl small business assn
2,False,0.8,connecticut women’s education and legal fund,women’s equal rights legal defense and education fund
3,True,0.95,naacp,naacp louisiana state conference
4,False,0.85,prolife ctr at the university of st. thomas,university of st. thomas
5,False,0.95,alabama criminal defense lawyers assn,utah assn of criminal defense lawyers
6,False,0.9,aclu of minnesota,minnesota family council
7,False,0.7,free speech advocates,mit free speech alliance
8,False,1.0,medical professionals,multimedia production professionals
9,False,0.8,pride construction,pride fdn
10,False,0.95,aclu of the district of columbia,federal public defender for the district of alaska
1,False,0.9,ecological soc of america,zoological assn of america
2,False,0.6,american free enterprise chamber of commerce,freedom partners chamber of commerce
3,False,0.8,new york council of defense lawyers,new york county lawyers’ assn
4,False,0.9,disability rights connecticut,indiana disability rights
5,False,0.7,michigan assn of police org,natl assn of police org
6,False,0.95,new hampshire assn of county attorneys,new hampshire hospital assn
7,True,0.85,new mexico farm and livestock bureau,state farm bureau org of new mexico
8,False,0.8,philanthropy new york,philanthropy roundtable
9,False,0.7,freedom from religion fdn,religious freedom inst islam and religious freedom action team
10,False,0.8,faith and freedom fdn,woodhull freedom fdn
1,False,0.9,dc coalition against domestic violence,kansas coalition against sexual and domestic violence
2,False,0.9,community against violence,uniting three fires against violence
3,False,0.8,after the impact fund,impact partners
4,False,0.9,justice policy inst,oklahoma policy inst
5,False,0.9,players assn of the women’s natl basketball assn,women’s basketball coaches assn
6,False,1.0,florida republican party,north carolina republican party
7,False,0.8,american free enterprise chamber of commerce,chamber of commerce of the united states of america
8,False,0.9,equality new york,innocence project new york new york
9,False,0.8,equal justice soc,justice fdn
10,False,1.0,arizona republican party,north carolina republican party
1,False,0.3,assn for education fairness,fairness campaign
2,False,0.4,new york council of defense lawyers,new york county lawyers assn
3,False,0.9,american civil liberties union fdn of arizona,american civil liberties union fdn of maine
4,False,0.9,arkansas school boards assn,virginia school boards assn
5,False,0.9,idaho republican party,republican party of arizona
6,False,0.5,federal public and community defenders,federal public defender for the district of oregon
7,False,0.4,american financial services assn,financial services inst
8,False,0.4,atlantic ctr for capital representation,virginia capital representation resource ctr
9,False,0.7,california apartment assn,natl apartment assn
10,False,0.6,natl fed of independent business,natl fed of independent small business legal ctr
1,False,0.9,american assn of christian counselors,american school counselors assn
2,True,0.8,hope family services at the resurrection project,resurrection project
3,False,0.9,asian pacific american gun owners assn,orange county gun owners
4,False,0.95,american muslim bar assn,new york state bar assn
5,False,0.95,inst for justice,mississippi ctr for justice
6,False,0.9,stand for georgia values,stand u.p.
7,False,0.95,american medical assn,christian law assn
8,False,0.9,american free enterprise chamber of commerce,kansas chamber of commerce
9,False,0.85,family council and family policy inst,maryland family inst
10,False,0.95,american dental assn,christian medical and dental assn
1,False,0.9,california police chiefs assn,intl assn of chiefs of police
2,False,0.9,n.c. sheriffs’ ass’n,natl sheriffs’ assn
3,False,0.95,d.c. assn of criminal defense lawyers,oklahoma criminal defense lawyer’s assn
4,False,0.95,hca healthcare,north carolina community health ctr assn
5,False,0.9,asian pacific american bar assn of silicon valley (apaba silicon valley),silicon valley leadership grp
6,False,0.95,disability rights florida,disability rights tennessee
7,False,0.95,adamas pharmaceuticals,syros pharmaceuticals
8,True,0.95,american assn of university women,american assn of university women-michigan chapter
9,True,0.95,fdn for natl progress dba mother jones,mother jones
10,False,0.95,arc of the united states,green party natl comm
1,False,0.9,arizona coalition to end sexual and domestic violence,nevada coalition to end domestic and sexual violence
2,False,0.9,american medical student assn,women’s medical fund
3,False,0.95,assn of criminal defense lawyers of new jersey,utah assn of criminal defense lawyers
4,False,0.9,internet accountability project,internet soc
5,False,0.9,georgia coalition against domestic violence,natl coalition against domestic violence
6,False,0.9,innocence project of new orleans,mt innocence project
7,False,0.95,aclu fdn of texas,aclu of minnesota
8,False,0.85,american cornerstone inst,cornerstone policy research
9,False,0.95,disability rights california,disability rights mississippi
10,False,0.95,colorado right to life,new hampshire right to life
1,False,0.7,american civil liberties union,american civil liberties union fdn of virginia
2,False,0.8,american free enterprise chamber of commerce,ohio chamber of commerce
3,False,0.9,trinity college,trinity washington university
4,False,0.6,new york city residents alliance,new york residents alliance
5,False,0.9,american cancer soc cancer action network,natl childrens cancer soc
6,False,0.7,family violence appellate project,washington appellate project
7,False,0.9,american hospital assn,montana hospital assn
8,False,0.6,institutional religious freedom alliance,religious freedom inst islam and religious freedom action team
9,False,0.7,notre dame education law project,notre dame law school religious liberty initiative
10,False,0.8,operation blazing sword-pink pistols,pink pistols
1,False,0.9,louisiana alliance for life,pro-life texas
2,True,0.95,professional services council,professional services council-the voice of the government services industry
3,False,0.95,assn of minnesota counties,california state assn of counties
4,False,0.9,homing project,lawyering project
5,True,0.9,intl assn of sheet metal air rail and transportation workers,sheet metal air rail transportation workers-transportation div
6,False,0.95,aclu of minnesota,minnesota freedom fund
7,True,0.95,naral pro-choice america,reproductive freedom for all formerly naral pro-choice america
8,False,0.9,natl women’s health network,natl women’s shelter network
9,False,0.95,natl sheriffs assn,new mexico trucking assn
10,False,0.9,healthcare companies,viiv healthcare company
1,False,0.9,ctr for justice and freedom,freedom fdn of washington
2,False,0.95,north dakota hospital assn,north dakota states attorneys assn
3,False,0.95,aclu of mississippi,mississippi hospital assn
4,False,0.95,aclu of puerto rico,virginia assn of criminal defense lawyers
5,False,0.9,catholic medical assn,catholic medical mission board
6,False,0.95,central florida assn of criminal defense lawyers,washington assn of criminal defense lawyers
7,False,0.9,community legal services,veterans legal inst
8,False,0.85,american right to life,texas right to life
9,False,0.9,american civil liberties union,american constitutional rights union
10,False,0.9,california charter schools assn,classical charter schools of america
1,True,0.9,project 21,project21 black leadership network
2,False,1.0,innocence project new york new york,trucking assn of new york
3,False,1.0,tennessee municipal attorneys assn,washington state assn of municipal attorneys
4,False,1.0,children’s ctr,environmental law and policy ctr
5,False,0.9,mississippi manufacturers assn,natl assn of manufacturers
6,False,1.0,wyoming mining assn,wyoming trucking assn
7,False,0.8,nebraska appleseed ctr for law in the public interest,public interest law ctr
8,True,1.0,federal public defender district of nevada,federal public defender for the district of nevada
9,False,1.0,aclu of minnesota,university of minnesota
10,False,1.0,asian pacific american bar assn of los angeles county,los angeles lgbt ctr
1,False,0.8,american assn of senior citizens,senior citizens league
2,False,0.9,asian american bar assn of new york,natl lgbt bar assn
3,False,0.95,california rifle and pistol assn,maryland state rifle and pistol assn
4,False,0.95,aclu fdn of arizona,aclu fdn of louisiana
5,False,0.9,italy innocence project,mt innocence project
6,False,0.7,family fdn,family fdn (virginia)
7,False,0.85,st. john ctr,st. john’s university
8,False,0.8,ctr for individual freedom,individual rights fdn
9,False,0.7,california financial services assn,financial services inst
10,False,0.95,county of orange,orange county gun owners
1,False,0.9,american small business league,small business and entrepreneurship council
2,False,0.9,disability rights advocates,disability rights tennessee
3,False,0.95,american firearms assn,buckeye inst
4,False,0.8,ctr for american rights,legal rights ctr
5,False,0.95,american trucking assn,nebraska trucking assn
6,False,0.85,american civil rights union,california constitutional rights fdn
7,False,0.95,alabama criminal defense lawyers assn,pennsylvania assn of criminal defense lawyers
8,False,1.0,massachusetts family inst,massachusetts inst of technology
9,False,0.95,assn of arkansas counties,missouri assn of counties
10,False,0.9,naral pro-choice north carolina,north carolina school choice
1,False,0.9,children’s defense fund,justice defense fund
2,False,0.9,children’s advocacy inst,natl immigrant women’s advocacy project
3,False,0.8,constitution party natl comm,constitutional natl comm
4,True,0.95,by the hand,by the hand club for kids
5,False,0.95,league of conservation voters,league of women voters of new york state
6,False,0.95,aclu of minnesota,minnesota hospital assn
7,False,0.95,natl coalition for literacy,natl coalition for men
8,False,0.9,american hospital assn,iowa hospital assn
9,False,0.85,fair housing ctr of southwest michigan,outcenter of southwest michigan
10,True,0.9,intl union of operating engineers,intl union of operating engineers local 150 afl-cio
1,True,0.9,natl assn of social workers including its texas chapter,natl assn of social workers texas chapter
2,False,0.4,central alabama fair housing ctr,fair housing ctr
3,False,0.3,advocates for faith and freedom,freedom and justice fdn
4,False,0.2,caring works,internet works
5,False,0.8,republican natl comm,republican state comm of delaware
6,False,0.3,aids healthcare fdn,north carolina healthcare assn
7,False,0.2,santa barbara apartment assn,santa barbara women lawyers
8,False,0.4,jewish council for public affairs,natl jewish commission on law and public affairs
9,False,0.3,democracy north carolina,equality north carolina
10,False,0.5,american firearms assn,tennessee firearms assn
1,False,0.9,american academy of child and adolescent psychiatry,american academy of psychiatry and the law
2,False,0.8,california women’s law ctr,independent women’s law ctr
3,False,0.7,family heritage alliance,heritage defense fdn
4,True,0.95,hebrew immigrant aid soc (hias) pennsylvania,hias pennsylvania
5,True,0.9,agudas harabbonim,agudas harabonim
6,False,0.6,amicus populi,populi
7,False,0.9,forward party,patient forward
8,False,0.9,natl asian pacific american bar assn,natl council of asian pacific americans
9,False,0.95,q-wave,verily life sciences
10,True,0.95,natl fed of independent business small business legal ctr,nfib small business legal ctr
1,False,0.9,protect our aquifer,protect our defenders
2,False,0.95,aclu of massachusetts,children’s law ctr of kentucky
3,True,0.85,american civil liberties union fdn,american civil liberties union of nebraska
4,True,0.9,claremont institutes’ ctr for constitutional jurisprudence,ctr for constitutional jurisprudence
5,False,0.95,california district attorneys assn,district attorneys’ assn of georgia
6,False,0.8,natl assn of chiefs of police,natl police fdn
7,False,0.9,aclu of the district of columbia,american civil liberties union of washington
8,False,0.95,american bakers assn,swiss bankers assn
9,False,0.7,compass family services,family and community services
10,False,0.85,access reproductive justice,natl latina inst for reproductive health
1,False,0.7,texas public interest research grp,u.s. public interest research grp education fund
2,False,0.8,call to safety,ctr for food safety
3,False,0.6,alaska family action,family fdn
4,False,0.9,autonomic technologies,uber technologies
5,False,0.9,arizona coalition to end sexual and domestic violence,kansas coalition against sexual and domestic violence
6,False,0.95,california farm bureau,north carolina farm bureau
7,True,0.85,league of women voters,league of women voters of california
8,False,0.7,abortion care network,partners in abortion care
9,False,0.9,texas alliance for life,west virginians for life
10,False,0.75,california women’s law ctr,women’s fdn of california
1,False,0.9,american family assn,americans for family farmers
2,False,0.9,j street,protect democracy
3,False,0.8,law enforcement officers,maine state law enforcement assn
4,False,0.9,maciver inst for public policy,pelican inst for public policy
5,False,0.95,arizona chamber of commerce and industry,chamber of commerce of the united states
6,False,0.9,california retail assn,natl retail fed
7,False,0.95,illinois right to life,right to life of michigan
8,False,0.95,alabama criminal defense lawyers assn,texas criminal defense lawyers assn
9,False,0.95,aclu of the district of columbia,american civil liberties union of texas
10,False,0.95,california state sheriffs’ assn,washington state sheriffs assn
1,False,0.9,ctr for public justice,inst for justice
2,False,0.8,diocesan migrant and refugee services,lutheran immigration and refugee service
3,False,0.9,aclu of massachusetts,children’s ctr
4,False,0.9,airlines for america,american airlines grp
5,False,0.95,american ctr for law and justice,los angeles lgbt ctr
6,False,0.95,catholic medical assn,natl medical assn
7,False,0.95,georgia coalition against domestic violence,new york state coalition against domestic violence
8,False,0.95,american hospital assn,florida hospital assn
9,False,0.95,california tribal police chiefs assn,pennsylvania chiefs of police assn
10,True,0.85,american civil liberties union fdn,american civil liberties union of arizona
1,False,0.9,american free enterprise chamber of commerce,virginia chamber of commerce
2,False,0.9,california state sheriffs’ assn,michigan sheriffs’ assn
3,True,0.8,cleveland jobs with justice,jobs with justice
4,False,0.95,board of trustees of the university of arkansas,university of florida board of trustees
5,False,0.95,kentucky captive assn,kentucky coal assn
6,False,0.95,asian american bar assn of new york,women’s bar assn of the state of new york
7,False,0.85,liberty counsel,liberty counsel action
8,True,0.9,council on american-islamic relations,council on american-islamic relations new york
9,False,0.95,rhode island assn of criminal lawyers,rhode island bible soc
10,False,0.9,brandeis university,louis d. brandeis ctr for human rights under law
1,True,0.9,oregon farm bureau,state farm bureau org of oregon
2,False,0.8,american civil liberties union fdn,american civil liberties union of rhode island
3,False,0.95,assn of catholic colleges and universities,connecticut state colleges and universities
4,False,0.95,central pacific conference of the united church of christ,pennsylvania southeast conference of the united church of christ
5,True,0.9,coalition of labor union women,coalition of labor union women afl-cio
6,False,0.95,georgia assn of manufacturers,texas assn of manufacturers
7,False,0.9,innocence project of new orleans,innocence project of texas
8,False,0.9,disability rights florida,disability rights maryland
9,False,0.85,ctr for medicine in the public interest,nebraska appleseed ctr for law in the public interest
10,False,0.8,equal justice ctr,equal justice u.s.a.
1,False,0.9,alabama republican party,republican party of new mexico
2,False,0.7,asian pacific american bar assn of south florida,natl asian pacific american bar assn
3,False,0.6,eagle forum fdn,eagle forum of california
4,False,0.8,los angeles times communications,los angeles times communications and the san diego union-tribune
5,False,0.9,american financial services assn,native american financial services assn
6,False,0.8,b.e. technology,vapor technology assn
7,False,0.8,alabama coalition for immigrant justice,americans for immigrant justice
8,False,0.95,apartment assn of greater los angeles,women lawyers assn of los angeles
9,False,0.9,american assn of public health physicians,catholic health assn
10,False,0.95,colorado psychological assn,new york state sheriffs’ assn
1,False,0.7,consumer action,florida consumer action network
2,False,0.9,assn of american colleges and universities,minnesota state colleges and universities
3,True,0.95,9to5,9to5 natl assn of working women
4,False,0.6,asian pacific community in action,asian services in action
5,False,0.5,ctr for justice and freedom,freedom fdn
6,False,0.6,animal protection and rescue league,animal protection org
7,False,0.9,natl assn of basketball coaches,women’s natl basketball players assn
8,False,0.8,children’s ctr,ctr for law and social policy
9,False,0.95,houston baptist university,southwest baptist university
10,True,0.99,jewish war veterans of the u.s.a,jewish war veterans of the united states of america
1,False,0.9,california water quality assn,south carolina water quality assn
2,False,0.7,inst for constitutional advocacy and protection,natl assn for rights protection and advocacy
3,False,0.95,aclu of the district of columbia,women’s bar assn of the district of columbia
4,False,0.95,d.c. assn of criminal defense lawyers,louisiana assn of criminal defense lawyers
5,False,0.95,american assn of colleges of nursing,american medical assn
6,False,0.8,maryland family inst,public policy legal inst
7,False,0.6,operation save america,save
8,False,0.95,aclu of the district of columbia,federal public defender for the district of oregon
9,True,0.99,aldea-the peoples justice ctr,aldea-the people’s justice ctr
10,False,0.95,assn of criminal defense lawyers of new jersey,texas criminal defense lawyers assn
1,False,0.9,california catholic conference,tennessee catholic conference
2,False,0.8,indiana legal services,pangea legal services
3,False,0.9,california assn of realtors®,new york assn of realtors
4,False,0.85,assn of prosecuting attorneys,wyoming prosecuting attorneys assn
5,False,0.7,bet tzedek,tzedek assn
6,False,0.9,american assn of pro-life obstetricians and gynecologists,american college of obstetricians and gynecologists
